layer,tp_variance,fp_variance,separation
1,0.0,0.0,0.0
2,1.2148415862142116e-07,2.984220212002262e-07,1.7693786257880506e-07
3,1.5312024848197502e-07,3.6947802396812396e-07,2.1635777548614894e-07
4,1.6153023328466222e-07,3.9219146096595634e-07,2.3066122768129412e-07
5,1.5732382848778488e-07,3.9355590655190995e-07,2.3623207806412507e-07
6,1.5078828839454318e-07,3.7896134869600736e-07,2.2817306030146418e-07
