layer,auroc,aupr
1,0.5,0.45017976373908575
2,0.48188412844278694,0.4421145788842447
3,0.548556847765877,0.49381484505318823
4,0.44803949884537697,0.41103575864903114
5,0.3337524009684606,0.3516487230943678
6,0.3151183012347153,0.347813771933757
