method,mc_passes,AUROC,AUROC_CI_low,AUROC_CI_high,AUPRC,AURC,ECE
mc_passes_02,2,0.722040630473382,0.7164421902654006,0.7269965093906476,0.7553289737202686,0.3980880457016719,0.007626103830898574
mc_passes_05,5,0.7543272081300605,0.7491845366507237,0.7591701473172118,0.7866518837143623,0.3744742737637229,0.007883995393365876
mc_passes_10,10,0.7739684462631493,0.769081826755838,0.7784759866802681,0.8040731134108641,0.36044860073168566,0.006260554751242037
