method,ece_bins,ECE,Brier,Brier_CI_low,Brier_CI_high,NLL,NLL_CI_low,NLL_CI_high
all_internal,10,0.006785758937157825,0.19071004580516612,0.1887350824473254,0.19272837823364,0.564518138471689,0.5600404287213767,0.5691387404331485
all_internal,15,0.006260554751242037,0.19071004580516612,0.1887350824473254,0.19272837823364,0.564518138471689,0.5600404287213767,0.5691387404331485
all_internal,20,0.00803966004963082,0.19071004580516612,0.1887350824473254,0.19272837823364,0.564518138471689,0.5600404287213767,0.5691387404331485
all_internal_rf,10,0.005970429667069626,0.16190905073346915,0.15975539664422458,0.16408085911000636,0.4907889250825927,0.48555473773166463,0.4962219527505018
all_internal_rf,15,0.007825238727842245,0.16190905073346915,0.15975539664422458,0.16408085911000636,0.4907889250825927,0.48555473773166463,0.4962219527505018
all_internal_rf,20,0.009585007937537388,0.16190905073346915,0.15975539664422458,0.16408085911000636,0.4907889250825927,0.48555473773166463,0.4962219527505018
all_plus_confidence,10,0.007459656778043303,0.1677816360930283,0.16574268089323646,0.16989420597028876,0.5082406304026373,0.5029731239675586,0.5136065479490102
all_plus_confidence,15,0.007418428919083945,0.1677816360930283,0.16574268089323646,0.16989420597028876,0.5082406304026373,0.5029731239675586,0.5136065479490102
all_plus_confidence,20,0.008019943630741811,0.1677816360930283,0.16574268089323646,0.16989420597028876,0.5082406304026373,0.5029731239675586,0.5136065479490102
box_variance,10,0.003866127054530658,0.22801288906156758,0.2266648605817935,0.22937186970588916,0.6478780985590262,0.644945266260704,0.6508615084433177
box_variance,15,0.005839578630833452,0.22801288906156758,0.2266648605817935,0.22937186970588916,0.6478780985590262,0.644945266260704,0.6508615084433177
box_variance,20,0.007038642534351495,0.22801288906156758,0.2266648605817935,0.22937186970588916,0.6478780985590262,0.644945266260704,0.6508615084433177
confidence,10,0.008140456007618662,0.18804549818744776,0.18589871040217748,0.1902777526259226,0.5606324336324955,0.5550213930515356,0.5660221731066555
confidence,15,0.009551713664665767,0.18804549818744776,0.18589871040217748,0.1902777526259226,0.5606324336324955,0.5550213930515356,0.5660221731066555
confidence,20,0.010025141296436155,0.18804549818744776,0.18589871040217748,0.1902777526259226,0.5606324336324955,0.5550213930515356,0.5660221731066555
embedding_variance,10,0.005779286956182546,0.22444976874317543,0.22287024383920695,0.22603734331153674,0.6408964330168079,0.6378677636049942,0.6442422126192373
embedding_variance,15,0.007131347076459944,0.22444976874317543,0.22287024383920695,0.22603734331153674,0.6408964330168079,0.6378677636049942,0.6442422126192373
embedding_variance,20,0.008269234508016933,0.22444976874317543,0.22287024383920695,0.22603734331153674,0.6408964330168079,0.6378677636049942,0.6442422126192373
geometric,10,0.008946786781728035,0.2006188701676786,0.1987539481262117,0.20253531979884873,0.5876396578347897,0.5832760128624408,0.591924900843683
geometric,15,0.008043553471605482,0.2006188701676786,0.1987539481262117,0.20253531979884873,0.5876396578347897,0.5832760128624408,0.591924900843683
geometric,20,0.010994474802572624,0.2006188701676786,0.1987539481262117,0.20253531979884873,0.5876396578347897,0.5832760128624408,0.591924900843683
predictive_entropy,10,0.0075392342823535595,0.23263484592714345,0.23127722592784453,0.2340824464568468,0.6595706039392252,0.6561132649257742,0.6630505930137363
predictive_entropy,15,0.008033255359968882,0.23263484592714345,0.23127722592784453,0.2340824464568468,0.6595706039392252,0.6561132649257742,0.6630505930137363
predictive_entropy,20,0.009403401502604334,0.23263484592714345,0.23127722592784453,0.2340824464568468,0.6595706039392252,0.6561132649257742,0.6630505930137363
presence,10,0.0003648447859739652,0.24455908010145114,0.24375949085766002,0.24532262340763508,0.6827895411834465,0.6809126434678285,0.6847278785828792
presence,15,0.0003648447859739652,0.24455908010145114,0.24375949085766002,0.24532262340763508,0.6827895411834465,0.6809126434678285,0.6847278785828792
presence,20,0.0003648447859739652,0.24455908010145114,0.24375949085766002,0.24532262340763508,0.6827895411834465,0.6809126434678285,0.6847278785828792
representation,10,0.0025548094032051888,0.23734248250982537,0.2363298237453426,0.23843579561372358,0.6674886715376306,0.665285185532946,0.6697478132868749
representation,15,0.002669022181399229,0.23734248250982537,0.2363298237453426,0.23843579561372358,0.6674886715376306,0.665285185532946,0.6697478132868749
representation,20,0.004211917344139453,0.23734248250982537,0.2363298237453426,0.23843579561372358,0.6674886715376306,0.665285185532946,0.6697478132868749
semantic,10,0.009835322596429219,0.22731002404364448,0.2258277183726483,0.2287349636491116,0.6475585530281778,0.6439467811176135,0.6512436699187808
semantic,15,0.009835322596429222,0.22731002404364448,0.2258277183726483,0.2287349636491116,0.6475585530281778,0.6439467811176135,0.6512436699187808
semantic,20,0.00984193540843607,0.22731002404364448,0.2258277183726483,0.2287349636491116,0.6475585530281778,0.6439467811176135,0.6512436699187808
semantic_geometric,10,0.005343667187331637,0.19809035844835599,0.19622676067801287,0.19995643521555032,0.5820578715755302,0.578157182664973,0.5862373933880763
semantic_geometric,15,0.008024870121989273,0.19809035844835599,0.19622676067801287,0.19995643521555032,0.5820578715755302,0.578157182664973,0.5862373933880763
semantic_geometric,20,0.010338588415063897,0.19809035844835599,0.19622676067801287,0.19995643521555032,0.5820578715755302,0.578157182664973,0.5862373933880763
semantic_mi,10,0.008983459553440468,0.2408405494319715,0.23980987599418532,0.24189175434327526,0.6758065259070862,0.6732432533857843,0.678414965079228
semantic_mi,15,0.007588998289320531,0.2408405494319715,0.23980987599418532,0.24189175434327526,0.6758065259070862,0.6732432533857843,0.678414965079228
semantic_mi,20,0.009083945600742344,0.2408405494319715,0.23980987599418532,0.24189175434327526,0.6758065259070862,0.6732432533857843,0.678414965079228
