feature,confidence_uncertainty,semantic_mutual_information,semantic_predictive_entropy,class_disagreement,score_variance,box_variance,box_mean_pairwise_iou_loss,decoder_reference_variance,decoder_reference_step,embedding_variance,embedding_cosine_instability,decoder_hidden_step,absence_rate
confidence_uncertainty,1.0,0.04913746958974694,0.4801093018116276,0.1807090721527596,-0.0395754194221884,0.23244362534508492,0.38082625227886563,0.1946746075754311,0.2036941526059572,0.09971037408415505,0.11202916072303197,-0.13210355089152798,0.05655291854619048
semantic_mutual_information,0.04913746958974694,1.0,0.4038404404058391,0.3652053611244027,0.7800515154472207,0.47576057527846305,0.3496670464115733,0.43236973758430247,0.38281625214730647,0.8359994023431844,0.8442975055182885,0.1033605715175345,0.04235705953378512
semantic_predictive_entropy,0.4801093018116276,0.4038404404058391,1.0,0.32890520740963747,0.20221543990203053,0.29776212871791274,0.20813783846663295,0.26401876877515223,0.2533203363585632,0.26659297460745307,0.2943789033661306,-0.3030996792183065,0.002014834144863691
class_disagreement,0.1807090721527596,0.3652053611244027,0.32890520740963747,1.0,0.21229306999080597,0.25637784853894674,0.20804331860629635,0.22149293033039533,0.21617197423940157,0.292784822969765,0.2963205968542411,-0.021498726581193534,0.0661008307949293
score_variance,-0.0395754194221884,0.7800515154472207,0.20221543990203053,0.21229306999080597,1.0,0.49856006306571293,0.4548229135046862,0.4276301167204568,0.3612373110200481,0.9038338434290064,0.9038392240252997,0.21774838553435408,0.05812358760619534
box_variance,0.23244362534508492,0.47576057527846305,0.29776212871791274,0.25637784853894674,0.49856006306571293,1.0,0.7010011644623995,0.7354993028800348,0.720757555552486,0.578572548815865,0.5891622430613768,-0.11232597880994494,0.05049713375440218
box_mean_pairwise_iou_loss,0.38082625227886563,0.3496670464115733,0.20813783846663295,0.20804331860629635,0.4548229135046862,0.7010011644623995,1.0,0.35101117370548046,0.2998114568961977,0.5003709887952237,0.501075691332208,0.1824016201669802,0.10078923603376827
decoder_reference_variance,0.1946746075754311,0.43236973758430247,0.26401876877515223,0.22149293033039533,0.4276301167204568,0.7354993028800348,0.35101117370548046,1.0,0.9620393622231831,0.5292646395819366,0.5397794396335532,-0.06758201534452095,0.0430388935644506
decoder_reference_step,0.2036941526059572,0.38281625214730647,0.2533203363585632,0.21617197423940157,0.3612373110200481,0.720757555552486,0.2998114568961977,0.9620393622231831,1.0,0.47218904259682115,0.4830669317408776,-0.10099994232379857,0.033877067254981366
embedding_variance,0.09971037408415505,0.8359994023431844,0.26659297460745307,0.292784822969765,0.9038338434290064,0.578572548815865,0.5003709887952237,0.5292646395819366,0.47218904259682115,1.0,0.9987276843252834,0.24117618075299113,0.07113959072670334
embedding_cosine_instability,0.11202916072303197,0.8442975055182885,0.2943789033661306,0.2963205968542411,0.9038392240252997,0.5891622430613768,0.501075691332208,0.5397794396335532,0.4830669317408776,0.9987276843252834,1.0,0.2175831676454485,0.06963942071373391
decoder_hidden_step,-0.13210355089152798,0.1033605715175345,-0.3030996792183065,-0.021498726581193534,0.21774838553435408,-0.11232597880994494,0.1824016201669802,-0.06758201534452095,-0.10099994232379857,0.24117618075299113,0.2175831676454485,1.0,0.07628351420030599
absence_rate,0.05655291854619048,0.04235705953378512,0.002014834144863691,0.0661008307949293,0.05812358760619534,0.05049713375440218,0.10078923603376827,0.0430388935644506,0.033877067254981366,0.07113959072670334,0.06963942071373391,0.07628351420030599,1.0
