attribute,subgroup,rows,error_prevalence,method,AUROC,AUPRC,AURC
category_name,bicycle,1107,0.9087624209575429,all_internal,0.8263685215440032,0.9741584276154449,0.7772911316366055
category_name,bicycle,1107,0.9087624209575429,all_internal_rf,0.8684624923724975,0.9749824442737755,0.7574100889319296
category_name,bicycle,1107,0.9087624209575429,all_plus_confidence,0.8326870460405881,0.9725868842580232,0.7679223058062099
category_name,bicycle,1107,0.9087624209575429,box_variance,0.522656142353798,0.9051107991253033,0.8908147704441497
category_name,bicycle,1107,0.9087624209575429,confidence,0.8624293840914907,0.9750466005710225,0.7495255592371234
category_name,bicycle,1107,0.9087624209575429,embedding_variance,0.593518099324843,0.9265963598891067,0.8715255818880521
category_name,bicycle,1107,0.9087624209575429,geometric,0.6600299194929433,0.9424475621579446,0.8470896517553731
category_name,bicycle,1107,0.9087624209575429,predictive_entropy,0.8240359821270398,0.9721883355788035,0.7621074724974282
category_name,bicycle,1107,0.9087624209575429,presence,0.5119924020235026,0.9111359716266858,0.9120534862350395
category_name,bicycle,1107,0.9087624209575429,representation,0.5486290179713796,0.9210948191037887,0.8928765652335635
category_name,bicycle,1107,0.9087624209575429,semantic,0.8338582367183041,0.9724508529354644,0.7579282776734145
category_name,bicycle,1107,0.9087624209575429,semantic_geometric,0.8038796921441647,0.9683135293875801,0.7793354428430859
category_name,bicycle,1107,0.9087624209575429,semantic_mi,0.5372517371021396,0.9006706380125533,0.8873091626854669
category_name,bus,2396,0.9169449081803005,all_internal,0.8477023259218257,0.9789505675164764,0.7884780655020195
category_name,bus,2396,0.9169449081803005,all_internal_rf,0.8529333055811603,0.9805142453330031,0.7900224737626969
category_name,bus,2396,0.9169449081803005,all_plus_confidence,0.8832556043759994,0.984413334442594,0.7700308142063341
category_name,bus,2396,0.9169449081803005,box_variance,0.6289275233701506,0.9345966249342973,0.8779212332920872
category_name,bus,2396,0.9169449081803005,confidence,0.9230334650036711,0.9911826466802667,0.7566734451976296
category_name,bus,2396,0.9169449081803005,embedding_variance,0.5437474125291912,0.9211822259196056,0.9113718079493347
category_name,bus,2396,0.9169449081803005,geometric,0.722401264401205,0.9587952112801064,0.8503122985066252
category_name,bus,2396,0.9169449081803005,predictive_entropy,0.8211105596256201,0.9756310306044542,0.7879923620140569
category_name,bus,2396,0.9169449081803005,presence,0.5059148724963003,0.9180130212469121,0.9142461487086347
category_name,bus,2396,0.9169449081803005,representation,0.4100063357296267,0.8992796087353703,0.9425726091336717
category_name,bus,2396,0.9169449081803005,semantic,0.8022932139074983,0.9708101272092032,0.789840553660743
category_name,bus,2396,0.9169449081803005,semantic_geometric,0.8412956910176738,0.9764589799863714,0.7852478938371151
category_name,bus,2396,0.9169449081803005,semantic_mi,0.4568404150932176,0.8970827727573787,0.9266349177785073
category_name,car,15712,0.28678716904276985,all_internal,0.8017283794530528,0.5870987939066854,0.11938430337237158
category_name,car,15712,0.28678716904276985,all_internal_rf,0.8321658337399143,0.6590162675800225,0.1018919936196594
category_name,car,15712,0.28678716904276985,all_plus_confidence,0.8146266635265063,0.6196465837580345,0.10983861632398734
category_name,car,15712,0.28678716904276985,box_variance,0.6782897160776925,0.44618301366352253,0.17305540938956027
category_name,car,15712,0.28678716904276985,confidence,0.7976584099618815,0.551765289278847,0.11397065949661678
category_name,car,15712,0.28678716904276985,embedding_variance,0.6411258108747303,0.37126351739290553,0.19725353506003376
category_name,car,15712,0.28678716904276985,geometric,0.7581222141869817,0.5015418766900623,0.13055797722194162
category_name,car,15712,0.28678716904276985,predictive_entropy,0.802798283748664,0.59512471272369,0.11361312427976156
category_name,car,15712,0.28678716904276985,presence,0.5016473959522826,0.287630622240449,0.28920146183952383
category_name,car,15712,0.28678716904276985,representation,0.5700036534863109,0.34841501674816966,0.26912042127805724
category_name,car,15712,0.28678716904276985,semantic,0.7873339048045009,0.5199570984810122,0.11804064581811259
category_name,car,15712,0.28678716904276985,semantic_geometric,0.7975619831142708,0.5519272340211848,0.11531381820437087
category_name,car,15712,0.28678716904276985,semantic_mi,0.6021815638521593,0.33316222477322033,0.2209400298967011
category_name,motorcycle,1964,0.9663951120162932,all_internal,0.7895711594341731,0.9857762900764875,0.9059786199971356
category_name,motorcycle,1964,0.9663951120162932,all_internal_rf,0.7735095954274036,0.9856455572041668,0.9140966627810232
category_name,motorcycle,1964,0.9663951120162932,all_plus_confidence,0.8072532490340709,0.9874802081322628,0.8966861671960107
category_name,motorcycle,1964,0.9663951120162932,box_variance,0.4752051601366669,0.9624101969697535,0.9675502970585022
category_name,motorcycle,1964,0.9663951120162932,confidence,0.8691046396525848,0.9926271728004117,0.8889017894022216
category_name,motorcycle,1964,0.9663951120162932,embedding_variance,0.5132595714787496,0.9688635762350182,0.9689249044389313
category_name,motorcycle,1964,0.9663951120162932,geometric,0.6261375610690679,0.9769776726409267,0.9498913229826778
category_name,motorcycle,1964,0.9663951120162932,predictive_entropy,0.82853561963151,0.9899329550590732,0.8929621008512688
category_name,motorcycle,1964,0.9663951120162932,presence,0.518552224031676,0.9676895714000587,0.9686404438775128
category_name,motorcycle,1964,0.9663951120162932,representation,0.45084139604687556,0.9634250556730894,0.9725168727036703
category_name,motorcycle,1964,0.9663951120162932,semantic,0.835416866238784,0.9901966986126501,0.8911786161385155
category_name,motorcycle,1964,0.9663951120162932,semantic_geometric,0.7810614043490756,0.9859658180107636,0.902449679543075
category_name,motorcycle,1964,0.9663951120162932,semantic_mi,0.5702972826260497,0.9703465733349114,0.9555875293385961
category_name,person,5483,0.682473098668612,all_internal,0.7830143325481494,0.8530425568642819,0.4519524944225326
category_name,person,5483,0.682473098668612,all_internal_rf,0.8055612263850033,0.8711737519576513,0.43694946406369506
category_name,person,5483,0.682473098668612,all_plus_confidence,0.7953354673389388,0.8686453409408375,0.4505448301345529
category_name,person,5483,0.682473098668612,box_variance,0.6320436690365447,0.7689457533680193,0.5788912937181925
category_name,person,5483,0.682473098668612,confidence,0.8122343173765914,0.8764332767421945,0.4436465278287241
category_name,person,5483,0.682473098668612,embedding_variance,0.587043207013177,0.7009021161720344,0.5849921924995215
category_name,person,5483,0.682473098668612,geometric,0.708791429758173,0.808370139722657,0.5055343336288585
category_name,person,5483,0.682473098668612,predictive_entropy,0.7999299136645636,0.8806453812021857,0.4586968064906079
category_name,person,5483,0.682473098668612,presence,0.5071636646404154,0.6864318400204706,0.6669660662084334
category_name,person,5483,0.682473098668612,representation,0.520647839649341,0.6792769129906342,0.6686982469553084
category_name,person,5483,0.682473098668612,semantic,0.808709278626492,0.8826291244306852,0.4521851293271487
category_name,person,5483,0.682473098668612,semantic_geometric,0.7859061997396092,0.8594203621859327,0.4556362785099002
category_name,person,5483,0.682473098668612,semantic_mi,0.6264869554379229,0.7210262995248327,0.5520628254735666
category_name,rider,1417,0.9611856033874383,all_internal,0.3140168201842211,0.9409756232942912,0.9818069918138429
category_name,rider,1417,0.9611856033874383,all_internal_rf,0.5190228273928715,0.9691194227189517,0.9667033883174471
category_name,rider,1417,0.9611856033874383,all_plus_confidence,0.31089307168602326,0.939199581240308,0.9808035367478194
category_name,rider,1417,0.9611856033874383,box_variance,0.37893472166599923,0.9505211576279202,0.9786679808432904
category_name,rider,1417,0.9611856033874383,confidence,0.5419837137898812,0.9714669157171191,0.9617737932996268
category_name,rider,1417,0.9611856033874383,embedding_variance,0.4712321452409558,0.9582209610387391,0.9654409370106556
category_name,rider,1417,0.9611856033874383,geometric,0.40453877986917636,0.9541651829431975,0.9768624105692048
category_name,rider,1417,0.9611856033874383,predictive_entropy,0.4080630089440662,0.9570871051284997,0.9730072875128429
category_name,rider,1417,0.9611856033874383,presence,0.513215859030837,0.9622115345754355,0.9631197214487437
category_name,rider,1417,0.9611856033874383,representation,0.34964624215725537,0.9460753523571701,0.9789696830012733
category_name,rider,1417,0.9611856033874383,semantic,0.5144840475236951,0.970089483791202,0.9637139141128541
category_name,rider,1417,0.9611856033874383,semantic_geometric,0.45191563209184354,0.9590793588076627,0.9697140395603024
category_name,rider,1417,0.9611856033874383,semantic_mi,0.4885596048591643,0.965743382386979,0.9632667598101834
category_name,traffic light,10307,0.6867177646259823,all_internal,0.7204916835638736,0.8345613019534492,0.5260321372130888
category_name,traffic light,10307,0.6867177646259823,all_internal_rf,0.7728419887199495,0.8619464943975577,0.473218459640045
category_name,traffic light,10307,0.6867177646259823,all_plus_confidence,0.8002052254789375,0.8805926466496061,0.47071746975888923
category_name,traffic light,10307,0.6867177646259823,box_variance,0.5562809786381558,0.7186804234108233,0.635699617299015
category_name,traffic light,10307,0.6867177646259823,confidence,0.8146423286213673,0.8884971801517783,0.45745665639589456
category_name,traffic light,10307,0.6867177646259823,embedding_variance,0.5392151131781063,0.6867362176036353,0.6233350143477312
category_name,traffic light,10307,0.6867177646259823,geometric,0.6294796704526153,0.7714828194156601,0.5800665489882412
category_name,traffic light,10307,0.6867177646259823,predictive_entropy,0.7102881216259368,0.8223369795589494,0.5140611720700289
category_name,traffic light,10307,0.6867177646259823,presence,0.5072489389784982,0.6899565031282234,0.671050705552216
category_name,traffic light,10307,0.6867177646259823,representation,0.42569104114476825,0.6372739512127501,0.7366245358868294
category_name,traffic light,10307,0.6867177646259823,semantic,0.7475850871468837,0.8441771972956548,0.4950530386423746
category_name,traffic light,10307,0.6867177646259823,semantic_geometric,0.7370861832375099,0.8374580001658845,0.5042525763078346
category_name,traffic light,10307,0.6867177646259823,semantic_mi,0.508712981946686,0.6566803451959196,0.6432346227656011
category_name,traffic sign,6419,0.44975852936594485,all_internal,0.6915186050954389,0.6398657595060978,0.302805501617759
category_name,traffic sign,6419,0.44975852936594485,all_internal_rf,0.753239126776376,0.698636629867369,0.25829157449425494
category_name,traffic sign,6419,0.44975852936594485,all_plus_confidence,0.8065041242010794,0.7446110510659194,0.22026242729525444
category_name,traffic sign,6419,0.44975852936594485,box_variance,0.6578106605900391,0.5706742576462067,0.32639087312894105
category_name,traffic sign,6419,0.44975852936594485,confidence,0.7803863415529686,0.6949411032921388,0.23124272207860827
category_name,traffic sign,6419,0.44975852936594485,embedding_variance,0.5781502466832024,0.4806087653449699,0.37078823207036904
category_name,traffic sign,6419,0.44975852936594485,geometric,0.709083873073382,0.6331109080167171,0.2853396197528187
category_name,traffic sign,6419,0.44975852936594485,predictive_entropy,0.5701466251847134,0.4743784723150769,0.36312635021473083
category_name,traffic sign,6419,0.44975852936594485,presence,0.5072736435954356,0.4541246747295576,0.4474401764081833
category_name,traffic sign,6419,0.44975852936594485,representation,0.5202265711760573,0.459765323147462,0.44576371052911307
category_name,traffic sign,6419,0.44975852936594485,semantic,0.6018976973750021,0.5092855818311095,0.34105667794352973
category_name,traffic sign,6419,0.44975852936594485,semantic_geometric,0.7111398933242744,0.6404115192092585,0.2829275748297983
category_name,traffic sign,6419,0.44975852936594485,semantic_mi,0.5093260843214457,0.43552840698531775,0.43417073643415116
category_name,train,349,0.997134670487106,all_internal,0.8793103448275862,0.9996321023710266,0.9939628173036202
category_name,train,349,0.997134670487106,all_internal_rf,0.6724137931034483,0.998865539545861,0.9968025045797805
category_name,train,349,0.997134670487106,all_plus_confidence,0.9310344827586207,0.9997955717015259,0.9923846378511996
category_name,train,349,0.997134670487106,box_variance,0.47988505747126436,0.9979035440072894,0.9981225014778068
category_name,train,349,0.997134670487106,confidence,0.985632183908046,0.9999585935021646,0.9881077758328037
category_name,train,349,0.997134670487106,embedding_variance,0.9137931034482759,0.9997421085609459,0.993012227974887
category_name,train,349,0.997134670487106,geometric,0.5488505747126436,0.9982861878602182,0.9977161124216467
category_name,train,349,0.997134670487106,predictive_entropy,1.0,1.0,0.981565273445029
category_name,train,349,0.997134670487106,presence,0.5158045977011494,0.9972252412475711,0.9998484936561641
category_name,train,349,0.997134670487106,representation,0.9511494252873564,0.999856713604006,0.9914207247993005
category_name,train,349,0.997134670487106,semantic,0.9971264367816092,0.9999917662945033,0.984430602957923
category_name,train,349,0.997134670487106,semantic_geometric,0.6781609195402298,0.9988898404005113,0.9967520132120249
category_name,train,349,0.997134670487106,semantic_mi,0.9712643678160919,0.9999165816256197,0.9899577326254538
category_name,truck,2651,0.8125235760090532,all_internal,0.7677382773894995,0.9159758420853809,0.6378797597120845
category_name,truck,2651,0.8125235760090532,all_internal_rf,0.7656953793326345,0.9177522427047158,0.6575378752492623
category_name,truck,2651,0.8125235760090532,all_plus_confidence,0.7868212057862496,0.9256648199043216,0.6328910658541159
category_name,truck,2651,0.8125235760090532,box_variance,0.6014265724336735,0.8496049180916411,0.7543525310204078
category_name,truck,2651,0.8125235760090532,confidence,0.827606306361848,0.9392348528230644,0.6051029339186781
category_name,truck,2651,0.8125235760090532,embedding_variance,0.5239216169813682,0.814349245792571,0.7890531963829724
category_name,truck,2651,0.8125235760090532,geometric,0.6449318006460304,0.8812029433142825,0.7460598796897794
category_name,truck,2651,0.8125235760090532,predictive_entropy,0.7484535812834294,0.9084367100509179,0.6482864362126968
category_name,truck,2651,0.8125235760090532,presence,0.5021951579486202,0.8137819330736493,0.8114952583808523
category_name,truck,2651,0.8125235760090532,representation,0.4847740108244639,0.8037844005902519,0.8314211750359249
category_name,truck,2651,0.8125235760090532,semantic,0.7489869579594559,0.9049368306552174,0.642300723536786
category_name,truck,2651,0.8125235760090532,semantic_geometric,0.7637393534839492,0.9159482466277006,0.640532775437812
category_name,truck,2651,0.8125235760090532,semantic_mi,0.46315217208543735,0.7729201019568153,0.8146781409746848
object_size,large,7530,0.48725099601593624,all_internal,0.8557069249355976,0.8322623737578545,0.22898733155021408
object_size,large,7530,0.48725099601593624,all_internal_rf,0.905776708175182,0.893448968527212,0.1922739539622291
object_size,large,7530,0.48725099601593624,all_plus_confidence,0.8963978492460367,0.8794098381205755,0.20379100547820067
