score_threshold,rows,error_prevalence,method,AUROC,AUPRC,AURC
0.05,422843,0.9323602377241671,all_internal,0.8766909717479193,0.9873806267553739,0.8108743933483418
0.05,422843,0.9323602377241671,all_internal_rf,0.8588563588548921,0.9850051296087905,0.8106263185040548
0.05,422843,0.9323602377241671,all_plus_confidence,0.9188119809595316,0.9917574784684094,0.7904724390346951
0.05,422843,0.9323602377241671,box_variance,0.7347240430652933,0.9701625492307623,0.8655265777673757
0.05,422843,0.9323602377241671,confidence,0.9143525633945312,0.9912335626270516,0.7943012027760278
0.05,422843,0.9323602377241671,embedding_variance,0.6566328966072892,0.9491201788697897,0.8689028641474789
0.05,422843,0.9323602377241671,geometric,0.8172760932467669,0.98116465824993,0.8331669087759876
0.05,422843,0.9323602377241671,predictive_entropy,0.71927127531,0.969300288474067,0.86657932330083
0.05,422843,0.9323602377241671,presence,0.6185316869581214,0.9486837992161049,0.9142229463195036
0.05,422843,0.9323602377241671,representation,0.6266185911079327,0.95023666358165,0.898430474399077
0.05,422843,0.9323602377241671,semantic,0.7632625286855833,0.9742217807910724,0.8540560874772869
0.05,422843,0.9323602377241671,semantic_geometric,0.8529071757325392,0.9848374887710005,0.8189831867592738
0.05,422843,0.9323602377241671,semantic_mi,0.6055690119286002,0.947268433125926,0.9009729996789425
0.1,152317,0.8272550010832671,all_internal,0.828851473194736,0.9505214665475168,0.6351746283284859
0.1,152317,0.8272550010832671,all_internal_rf,0.8521049841065611,0.9584213985825074,0.6138920146071165
0.1,152317,0.8272550010832671,all_plus_confidence,0.8822779203033697,0.9669613578161238,0.6005942302393915
0.1,152317,0.8272550010832671,box_variance,0.6923401793635118,0.9019180408218309,0.7138421869115752
0.1,152317,0.8272550010832671,confidence,0.8585928078655032,0.9572377654264449,0.6142112103598617
0.1,152317,0.8272550010832671,embedding_variance,0.644960769291455,0.8646435044312405,0.7163060548356537
0.1,152317,0.8272550010832671,geometric,0.7791670158909296,0.9338198574694919,0.658411034981285
0.1,152317,0.8272550010832671,predictive_entropy,0.6550215039703466,0.892453618906825,0.7293972795208302
0.1,152317,0.8272550010832671,presence,0.5337070918197142,0.8385578174061067,0.8151779547484818
0.1,152317,0.8272550010832671,representation,0.5965025569610359,0.8590869471806142,0.7788524431946103
0.1,152317,0.8272550010832671,semantic,0.7024128394452295,0.9101601062894569,0.7078325806737894
0.1,152317,0.8272550010832671,semantic_geometric,0.8110697055569844,0.9440833174383007,0.6430447290906243
0.1,152317,0.8272550010832671,semantic_mi,0.5767242287182834,0.847366732847906,0.7751063729300295
0.2,47805,0.5685179374542412,all_internal,0.7739684462631493,0.8040731134108641,0.36044860073168566
0.2,47805,0.5685179374542412,all_internal_rf,0.8341611781989404,0.8547698807352275,0.30411021666152344
0.2,47805,0.5685179374542412,all_plus_confidence,0.8249095149925685,0.8479789157649242,0.31838992230437535
0.2,47805,0.5685179374542412,box_variance,0.6479085254502919,0.6816401503196814,0.44146636568211095
0.2,47805,0.5685179374542412,confidence,0.7737024494047728,0.7834117786759655,0.3486603509348329
0.2,47805,0.5685179374542412,embedding_variance,0.637301945763505,0.652551448369592,0.43905555638728877
0.2,47805,0.5685179374542412,geometric,0.7380224166222182,0.7570774179320239,0.3688696236550491
0.2,47805,0.5685179374542412,predictive_entropy,0.608660291030795,0.6605846453404431,0.4622869694899036
0.2,47805,0.5685179374542412,presence,0.5082695558127884,0.5737855296759634,0.5620888652946946
0.2,47805,0.5685179374542412,representation,0.5959231767223598,0.6365042365508594,0.5013825349465042
0.2,47805,0.5685179374542412,semantic,0.6361389734209456,0.6917123918676475,0.4484748271144672
0.2,47805,0.5685179374542412,semantic_geometric,0.7531039308223653,0.7807069913719189,0.37281569256830366
0.2,47805,0.5685179374542412,semantic_mi,0.5637568379653162,0.5992869504974796,0.5092076431966689
0.3,22421,0.3492707729360867,all_internal,0.7215984625172499,0.5907874931404533,0.2162387288422989
0.3,22421,0.3492707729360867,all_internal_rf,0.8033307983446399,0.669837958997171,0.15105304359019758
0.3,22421,0.3492707729360867,all_plus_confidence,0.7732317184763916,0.6439139833738284,0.1765224991681604
0.3,22421,0.3492707729360867,box_variance,0.6205728817710039,0.4454147126300589,0.258445859879731
0.3,22421,0.3492707729360867,confidence,0.7093204202660575,0.5324729667500908,0.20899550221502586
0.3,22421,0.3492707729360867,embedding_variance,0.6335334366875852,0.4444317841090364,0.25328095668145145
0.3,22421,0.3492707729360867,geometric,0.7130223206498416,0.5291832786789532,0.19979539876029537
0.3,22421,0.3492707729360867,predictive_entropy,0.588888522260302,0.434946082946727,0.2784564519234696
0.3,22421,0.3492707729360867,presence,0.5048190575601144,0.35238413202431373,0.34677978883899746
0.3,22421,0.3492707729360867,representation,0.6066687649102717,0.4332469309848419,0.28265013226226965
0.3,22421,0.3492707729360867,semantic,0.5855990790367697,0.44582914388449635,0.2836324590893857
0.3,22421,0.3492707729360867,semantic_geometric,0.6945139040293367,0.5483721187094401,0.23118452311403298
0.3,22421,0.3492707729360867,semantic_mi,0.5691572719063765,0.3878372908224166,0.29941303597506125
