criticality_specification,accepted_criticality_mass,accepted_detections,accepted_errors,auprc,aurc,auroc,brier,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,coverage_at_weighted_risk_0.05,coverage_at_weighted_risk_0.10,coverage_at_weighted_risk_0.20,deferred_criticality_mass,deferred_detections,ece,ece_05,ece_10,ece_15,error_prevalence,mce_05,mce_10,mce_15,n,nll,operating_coverage,operating_criticality_mass_coverage,operating_defer_rate,operating_threshold,operating_weighted_risk,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00,status,weighted_aurc,weighted_risk_at_0.50,weighted_risk_at_0.70,weighted_risk_at_0.80,weighted_risk_at_0.90,weighted_risk_at_1.00
half_geometry,42.237797951791435,32,4,0.7230884173117808,0.3286292061331326,0.7368480725623583,0.20218405875226256,0.042328042328042326,0.13756613756613756,0.2698412698412698,0.007069601099044311,0.1587426637510068,0.18995922805777718,245.70995135523845,157,0.10487768341594356,0.10487768341594356,0.10487768341594356,0.10487768341594356,0.5555555555555556,0.6354537054596296,0.6354537054596296,0.6354537054596296,189,0.9281733563481366,0.1693121693121693,0.14668563325617304,0.8306878306878307,0.42338872444815934,0.10025666441897557,0.3684210526315789,0.44360902255639095,0.48026315789473684,0.5146198830409356,0.5555555555555556,estimable,0.38059976453614885,0.3762676192853697,0.39578534977422836,0.46004972443016445,0.5231077328474724,0.5882041950747559
no_geometry,42.0,36,5,0.7230884173117808,0.3286292061331326,0.7368480725623583,0.20218405875226256,0.042328042328042326,0.13756613756613756,0.2698412698412698,0.01627670396744659,0.04069175991861648,0.18311291963377416,203.75,153,0.10487768341594356,0.10487768341594356,0.10487768341594356,0.10487768341594356,0.5555555555555556,0.6354537054596296,0.6354537054596296,0.6354537054596296,189,0.9281733563481366,0.19047619047619047,0.17090539165818922,0.8095238095238095,0.42338872444815934,0.13095238095238096,0.3684210526315789,0.44360902255639095,0.48026315789473684,0.5146198830409356,0.5555555555555556,estimable,0.36655457120173035,0.34813084112149534,0.40540540540540543,0.46143250688705234,0.5287896592244419,0.5920651068158698
primary,31.27870363695547,23,4,0.7230884173117808,0.3286292061331326,0.7368480725623583,0.20218405875226256,0.042328042328042326,0.13756613756613756,0.2698412698412698,0.006274056313449965,0.14531652288152613,0.19239789985529626,298.8667949771043,166,0.10487768341594356,0.10487768341594356,0.10487768341594356,0.10487768341594356,0.5555555555555556,0.6354537054596296,0.6354537054596296,0.6354537054596296,189,0.9281733563481366,0.12169312169312169,0.0947421781252886,0.8783068783068784,0.42338872444815934,0.14288448530258563,0.3684210526315789,0.44360902255639095,0.48026315789473684,0.5146198830409356,0.5555555555555556,estimable,0.38248979985276294,0.40591713339013463,0.38765927907096415,0.45237514248484223,0.5175877114359203,0.5853302529360266
strong_geometry,18.38303504139185,13,4,0.7230884173117808,0.3286292061331326,0.7368480725623583,0.20218405875226256,0.042328042328042326,0.13756613756613756,0.2698412698412698,0.005168856432055476,0.005168856432055476,0.15742475101180461,396.1579621867277,176,0.10487768341594356,0.10487768341594356,0.10487768341594356,0.10487768341594356,0.5555555555555556,0.6354537054596296,0.6354537054596296,0.6354537054596296,189,0.9281733563481366,0.06878306878306878,0.04434551748635798,0.9312169312169312,0.42338872444815934,0.26864350359324995,0.3684210526315789,0.44360902255639095,0.48026315789473684,0.5146198830409356,0.5555555555555556,estimable,0.38601320006736894,0.40605101857254666,0.37784885770261467,0.43770420410679056,0.5099281999374273,0.5813376675173625
