method,status,n,weighted_aurc,coverage_at_weighted_risk_0.10,operating_coverage,operating_criticality_mass_coverage,operating_weighted_risk,brier,nll,ece,auroc,aurc
calibrated_confidence,estimable,189,0.3228327005895218,0.08809106265028509,0.1693121693121693,0.14493262401234752,0.1452490826851454,0.1774704085028472,0.5462082728957716,0.07029913013460629,0.7969954648526077,0.3086604513113456
criticality_only,estimable,189,0.5432817339849366,0.006274056313449965,0.0,0.0,,0.24736320727230343,0.6878671379855915,0.02120441051738753,0.5,0.4642968791207546
flat_joint,estimable,189,0.34857350516375113,0.006274056313449965,0.12169312169312169,0.09538209940364915,0.14192586913598423,0.18885586297564091,1.1812593376709803,0.13077146255422772,0.7932539682539683,0.3068241509338334
late_fusion_unweighted,estimable,189,0.3416754897915986,0.12617475711797194,0.0,0.0,,0.20218405875226256,0.9281733563481366,0.10487768341594356,0.7368480725623583,0.3286292061331326
raw_confidence,estimable,189,0.3954553947593718,0.0184002888773875,0.20634920634920634,0.16061183139759902,0.32497403357251814,0.2184433043564638,0.6257900228447636,0.18417036541239926,0.7978458049886621,0.3093504212598383
risk_aware_fusion,estimable,189,0.38248979985276294,0.14531652288152613,0.12169312169312169,0.0947421781252886,0.14288448530258563,0.20218405875226256,0.9281733563481366,0.10487768341594356,0.7368480725623583,0.3286292061331326
risk_aware_fusion_mc05,estimable,189,0.3934135240347624,0.006274056313449965,0.30158730158730157,0.24142061376432736,0.3006059160541753,0.20088037246210708,0.7268172544225302,0.11652720430852839,0.797562358276644,0.3079271077199376
risk_aware_fusion_mc10,estimable,189,0.332287554759124,0.17080411552493796,0.1111111111111111,0.08732370517835733,0.11244958347273842,0.17397305363390486,1.0645483606230999,0.12664849370952042,0.8219387755102041,0.29129111511934896
uncertainty_only,estimable,189,0.36282465184901236,0.006274056313449965,0.12698412698412698,0.10020956002695701,0.18326243500366035,0.19544339164797922,1.2697885514940388,0.1063637487711658,0.7752267573696145,0.31568505988302503
