Domain,Baseline ECE,Full Fusion ECE,n_samples
Day,0.19840069109903738,0.16807598125558826,13036
Night,0.19751913857425443,0.16290937427459887,9653
Challenging,0.20765629243273223,0.17667146667876513,7225
