method,mc_passes,auprc,aurc,auroc,brier,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,ece,error_prevalence,mce,n,nll,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00
multilevel_mc02,2,0.8908475133191259,0.313743115595871,0.8560319042871386,0.16300249386269616,0.1597222222222222,0.18055555555555555,0.2847222222222222,0.11143272500680301,0.5902777777777778,0.5165168132670085,144,0.6703925271367357,0.3472222222222222,0.43564356435643564,0.5,0.5538461538461539,0.5902777777777778
multilevel_mc05,5,0.9119393524323794,0.2962718862335141,0.8819541375872383,0.14544964028880855,0.2013888888888889,0.2152777777777778,0.3541666666666667,0.056923433871611674,0.5902777777777778,0.175,144,0.5199494498645212,0.3055555555555556,0.44554455445544555,0.5,0.5461538461538461,0.5902777777777778
multilevel_mc10,10,0.9190602748749381,0.298770157290724,0.882751744765703,0.15563881691023498,0.16666666666666666,0.2152777777777778,0.3125,0.07462798664710545,0.5902777777777778,0.5897053947756701,144,0.5434749359071542,0.3055555555555556,0.44554455445544555,0.49137931034482757,0.5461538461538461,0.5902777777777778
