attribute,value,rows,error_prevalence,method,auprc,aurc,auroc,n,risk_at_0.50,risk_at_0.80,risk_at_0.90,risk_at_1.00
category_name,bicycle,1107,0.9087624209575429,confidence,0.9750466005710225,0.7495255592371234,0.8624293840914907,1107.0,0.8393501805054152,0.8905191873589164,0.9027081243731193,0.9087624209575429
category_name,bicycle,1107,0.9087624209575429,deterministic_fixed,0.9063178741204456,0.9210902401492732,0.4664193059464992,1107.0,0.9151624548736462,0.9119638826185101,0.905717151454363,0.9087624209575429
category_name,bicycle,1107,0.9087624209575429,equal_fixed_fusion,0.9206975485873918,0.8865124241563497,0.5625553609038837,1107.0,0.8880866425992779,0.9063205417607223,0.9097291875626881,0.9087624209575429
category_name,bicycle,1107,0.9087624209575429,learned_deterministic,0.9013376442996732,0.9206018002332736,0.46936204554849126,1107.0,0.9133574007220217,0.909706546275395,0.9107321965897693,0.9087624209575429
category_name,bicycle,1107,0.9087624209575429,learned_fusion,0.971970459875277,0.7815159739432219,0.8152176052595319,1107.0,0.8411552346570397,0.8905191873589164,0.8996990972918756,0.9087624209575429
category_name,bicycle,1107,0.9087624209575429,learned_fusion_plus_confidence,0.9709265260721263,0.7696821094870564,0.8239277208038895,1107.0,0.8429602888086642,0.8905191873589164,0.9007021063189569,0.9087624209575429
category_name,bicycle,1107,0.9087624209575429,learned_stochastic,0.9771350090024362,0.7647281967441938,0.8401767612148888,1107.0,0.8483754512635379,0.8871331828442438,0.8986960882647944,0.9087624209575429
category_name,bicycle,1107,0.9087624209575429,nonlinear_fusion,0.9739839482693269,0.7648137572935751,0.8549691947325946,1107.0,0.8339350180505415,0.8927765237020316,0.9027081243731193,0.9087624209575429
category_name,bicycle,1107,0.9087624209575429,stochastic_fixed,0.9336367212175642,0.8490815524154346,0.62701021593213,1107.0,0.8898916967509025,0.9018058690744921,0.9027081243731193,0.9087624209575429
category_name,bus,2396,0.9169449081803005,confidence,0.9911826466802667,0.7566734451976296,0.9230334650036711,2396.0,0.8380634390651085,0.8972352634324465,0.9082058414464534,0.9169449081803005
category_name,bus,2396,0.9169449081803005,deterministic_fixed,0.8848285461959067,0.9360633172425119,0.3940103338723659,2396.0,0.9365609348914858,0.9347939488784559,0.9272137227630969,0.9169449081803005
category_name,bus,2396,0.9169449081803005,equal_fixed_fusion,0.9197167030897571,0.9081955024400244,0.5356367637001576,2396.0,0.9098497495826378,0.9149713093375065,0.9174779786740844,0.9169449081803005
category_name,bus,2396,0.9169449081803005,learned_deterministic,0.9230586362246502,0.9258951129121509,0.49246002429077573,2396.0,0.9207011686143572,0.9113197704747,0.914696337505795,0.9169449081803005
category_name,bus,2396,0.9169449081803005,learned_fusion,0.9787144122760524,0.7942526140238326,0.8430088540106082,2396.0,0.8505843071786311,0.8998435054773083,0.9091330551692165,0.9169449081803005
category_name,bus,2396,0.9169449081803005,learned_fusion_plus_confidence,0.9839529187893439,0.7729362228761022,0.881087275247425,2396.0,0.8480801335559266,0.8982785602503912,0.9091330551692165,0.9169449081803005
category_name,bus,2396,0.9169449081803005,learned_stochastic,0.979049427055293,0.779024985820746,0.8530362325967571,2396.0,0.8522537562604341,0.8993218570683359,0.9091330551692165,0.9169449081803005
category_name,bus,2396,0.9169449081803005,nonlinear_fusion,0.9780558032812063,0.8030193376782127,0.8385280979316245,2396.0,0.8514190317195326,0.8988002086593636,0.9086694483078349,0.9169449081803005
category_name,bus,2396,0.9169449081803005,stochastic_fixed,0.9416478911054279,0.86408165597786,0.6488290336525595,2396.0,0.8889816360601002,0.9134063641105895,0.9142327306444136,0.9169449081803005
category_name,car,15712,0.28678716904276985,confidence,0.551765289278847,0.11397065949661678,0.7976584099618815,15712.0,0.09826883910386966,0.21073985680190932,0.24998232091082667,0.28678716904276985
category_name,car,15712,0.28678716904276985,deterministic_fixed,0.4508183868985973,0.2211914451007732,0.6321928011743756,15712.0,0.21677698574338086,0.23858392999204456,0.2567003747966905,0.28678716904276985
category_name,car,15712,0.28678716904276985,equal_fixed_fusion,0.49501274999777045,0.16628802877755677,0.7045694779895273,15712.0,0.16662423625254583,0.2299920445505171,0.2530231242486387,0.28678716904276985
category_name,car,15712,0.28678716904276985,learned_deterministic,0.4964922923888064,0.22593234346427266,0.6422365317102728,15712.0,0.21563136456211812,0.22720763723150358,0.24340569973834947,0.28678716904276985
category_name,car,15712,0.28678716904276985,learned_fusion,0.598033860422729,0.11681270599647353,0.8062252491551709,15712.0,0.09432281059063137,0.20238663484486874,0.24326426702496287,0.28678716904276985
category_name,car,15712,0.28678716904276985,learned_fusion_plus_confidence,0.6321604213176595,0.1082749344271932,0.8187965058031573,15712.0,0.09241344195519348,0.19856801909307875,0.23711194399264549,0.28678716904276985
category_name,car,15712,0.28678716904276985,learned_stochastic,0.514084731685682,0.13056386581614768,0.7674194337745798,15712.0,0.11328920570264765,0.22195704057279236,0.2544374513825048,0.28678716904276985
category_name,car,15712,0.28678716904276985,nonlinear_fusion,0.6253301194231772,0.10864177125149828,0.8154115451910194,15712.0,0.0889765784114053,0.19976133651551312,0.2373948094194187,0.28678716904276985
category_name,car,15712,0.28678716904276985,stochastic_fixed,0.42027059508100084,0.14827409676492637,0.708763669580029,15712.0,0.1414205702647658,0.2515513126491647,0.26985361714164485,0.28678716904276985
category_name,motorcycle,1964,0.9663951120162932,confidence,0.9926271728004117,0.8889017894022216,0.8691046396525848,1964.0,0.9389002036659878,0.9592875318066157,0.9638009049773756,0.9663951120162932
category_name,motorcycle,1964,0.9663951120162932,deterministic_fixed,0.9529522436914118,0.9802782484998444,0.35603665740652035,1964.0,0.9837067209775967,0.9701017811704835,0.9688914027149321,0.9663951120162932
category_name,motorcycle,1964,0.9663951120162932,equal_fixed_fusion,0.9669278407983732,0.9710729617483452,0.4836909665676789,1964.0,0.9663951120162932,0.9662849872773537,0.9660633484162896,0.9663951120162932
category_name,motorcycle,1964,0.9663951120162932,learned_deterministic,0.9537593258738845,0.9804572302981693,0.35685091164543226,1964.0,0.9826883910386965,0.9707379134860051,0.9688914027149321,0.9663951120162932
category_name,motorcycle,1964,0.9663951120162932,learned_fusion,0.9859373968328919,0.9071325391949637,0.7833285436025162,1964.0,0.9480651731160896,0.960559796437659,0.9632352941176471,0.9663951120162932
category_name,motorcycle,1964,0.9663951120162932,learned_fusion_plus_confidence,0.9885489049234599,0.897387202172754,0.8139109748698791,1964.0,0.945010183299389,0.960559796437659,0.9638009049773756,0.9663951120162932
category_name,motorcycle,1964,0.9663951120162932,learned_stochastic,0.9879787359875791,0.898024317583726,0.8230034805377271,1964.0,0.9429735234215886,0.9599236641221374,0.9632352941176471,0.9663951120162932
category_name,motorcycle,1964,0.9663951120162932,nonlinear_fusion,0.9871295558444981,0.9157927663842003,0.7801353897244309,1964.0,0.945010183299389,0.960559796437659,0.9638009049773756,0.9663951120162932
category_name,motorcycle,1964,0.9663951120162932,stochastic_fixed,0.9769054263586255,0.9436808721627001,0.6463981224255196,1964.0,0.9541751527494908,0.9618320610687023,0.9643665158371041,0.9663951120162932
category_name,person,5483,0.682473098668612,confidence,0.8764332767421945,0.4436465278287241,0.8122343173765914,5483.0,0.4886943836615609,0.6245726008661956,0.6555217831813577,0.682473098668612
category_name,person,5483,0.682473098668612,deterministic_fixed,0.7287697008045126,0.6477437450259028,0.5531859504373258,5483.0,0.6560904449307076,0.6674264873489857,0.6721377912867275,0.682473098668612
category_name,person,5483,0.682473098668612,equal_fixed_fusion,0.7676206987843767,0.5611321462521266,0.6369946101367006,5483.0,0.6064916119620715,0.6592204239799407,0.6695035460992907,0.682473098668612
category_name,person,5483,0.682473098668612,learned_deterministic,0.7394372287627293,0.6522310392371875,0.5609335143769085,5483.0,0.6415025528811087,0.6601322087987235,0.6684903748733536,0.682473098668612
category_name,person,5483,0.682473098668612,learned_fusion,0.8517391495001858,0.4515680843175191,0.7806607763036351,5483.0,0.5193289569657185,0.6357419648962844,0.6613981762917933,0.682473098668612
category_name,person,5483,0.682473098668612,learned_fusion_plus_confidence,0.8681257464485629,0.44941701268558054,0.7950963203599423,5483.0,0.5036469730123997,0.6289035787554137,0.6583586626139818,0.682473098668612
category_name,person,5483,0.682473098668612,learned_stochastic,0.8436608164195817,0.4561373931732733,0.7753275530781961,5483.0,0.5182348650619986,0.6396170503761113,0.6630192502532928,0.682473098668612
category_name,person,5483,0.682473098668612,nonlinear_fusion,0.867910858235868,0.4395211924838433,0.8016905143379206,5483.0,0.4959883296863603,0.6295874173695007,0.6589665653495441,0.682473098668612
category_name,person,5483,0.682473098668612,stochastic_fixed,0.773788622188791,0.5116726731770458,0.6689663969330245,5483.0,0.600291757840992,0.6587645315705494,0.6717325227963525,0.682473098668612
category_name,rider,1417,0.9611856033874383,confidence,0.9714669157171191,0.9617737932996268,0.5419837137898812,1417.0,0.9562764456981664,0.955026455026455,0.9584639498432602,0.9611856033874383
category_name,rider,1417,0.9611856033874383,deterministic_fixed,0.9141708586498617,0.9899777107339589,0.17021759444666937,1417.0,0.9929478138222849,0.9841269841269841,0.9772727272727273,0.9611856033874383
category_name,rider,1417,0.9611856033874383,equal_fixed_fusion,0.9310074225469845,0.9851979404565101,0.24377252703243893,1417.0,0.9858956276445698,0.9788359788359788,0.9686520376175548,0.9611856033874383
category_name,rider,1417,0.9611856033874383,learned_deterministic,0.9202170524380585,0.9907852327221445,0.1664397276732079,1417.0,0.9943582510578279,0.9867724867724867,0.9717868338557993,0.9611856033874383
category_name,rider,1417,0.9611856033874383,learned_fusion,0.9413311092749503,0.9817392423774249,0.316045921772794,1417.0,0.9830747531734838,0.9691358024691358,0.963166144200627,0.9611856033874383
category_name,rider,1417,0.9611856033874383,learned_fusion_plus_confidence,0.9402848865926627,0.9812534022446607,0.3077693231878254,1417.0,0.9844851904090268,0.9708994708994709,0.9647335423197492,0.9611856033874383
category_name,rider,1417,0.9611856033874383,learned_stochastic,0.9582329021562926,0.9653359098752204,0.4868775864370578,1417.0,0.9576868829337094,0.9603174603174603,0.9615987460815048,0.9611856033874383
category_name,rider,1417,0.9611856033874383,nonlinear_fusion,0.9620270533170544,0.9719297404000914,0.4505940461887598,1417.0,0.9661495063469676,0.9611992945326279,0.9592476489028213,0.9611856033874383
category_name,rider,1417,0.9611856033874383,stochastic_fixed,0.961147902232909,0.9694483129694307,0.4569750367107195,1417.0,0.9675599435825106,0.9603174603174603,0.9600313479623824,0.9611856033874383
category_name,traffic light,10307,0.6867177646259823,confidence,0.8884971801517783,0.45745665639589456,0.8146423286213673,10307.0,0.4819557625145518,0.6258792141644434,0.6598038158887571,0.6867177646259823
category_name,traffic light,10307,0.6867177646259823,deterministic_fixed,0.7115023014082257,0.704652055558013,0.5032274970638633,10307.0,0.6862630966239813,0.6713558088770313,0.6767273903201466,0.6867177646259823
category_name,traffic light,10307,0.6867177646259823,equal_fixed_fusion,0.7281838716576496,0.6390558921754211,0.5558169854624369,10307.0,0.6655025223127667,0.6701430996846957,0.6762962164492832,0.6867177646259823
category_name,traffic light,10307,0.6867177646259823,learned_deterministic,0.6850497388999585,0.7329924126720974,0.44747944660527816,10307.0,0.7349631354287932,0.6828765462042202,0.6757572491107039,0.6867177646259823
category_name,traffic light,10307,0.6867177646259823,learned_fusion,0.8330472490040455,0.5259369574605659,0.7195266810186822,10307.0,0.5508343034536283,0.6388552025224351,0.662929826452517,0.6867177646259823
category_name,traffic light,10307,0.6867177646259823,learned_fusion_plus_confidence,0.8776912002789421,0.4705377937882218,0.7979505192374384,10307.0,0.4920450135816841,0.6283046325491147,0.6593726420178937,0.6867177646259823
category_name,traffic light,10307,0.6867177646259823,learned_stochastic,0.846536246736852,0.4965187718106302,0.7517628415345495,10307.0,0.53337213814513,0.6387339316032016,0.6631454133879487,0.6867177646259823
category_name,traffic light,10307,0.6867177646259823,nonlinear_fusion,0.8523388882350855,0.48142451165390887,0.7617767282952748,10307.0,0.5242530073729142,0.6358234295415959,0.6634687937910962,0.6867177646259823
category_name,traffic light,10307,0.6867177646259823,stochastic_fixed,0.7146342981467738,0.5879741333452002,0.569743912695688,10307.0,0.6717112922002328,0.6868784865389279,0.6856742481405627,0.6867177646259823
category_name,traffic sign,6419,0.44975852936594485,confidence,0.6949411032921388,0.23124272207860827,0.7803863415529686,6419.0,0.23862928348909657,0.37772585669781933,0.41761855313257185,0.44975852936594485
category_name,traffic sign,6419,0.44975852936594485,deterministic_fixed,0.6028755233101658,0.3825318543240575,0.6263645835335578,6419.0,0.35202492211838005,0.3925233644859813,0.416926272066459,0.44975852936594485
category_name,traffic sign,6419,0.44975852936594485,equal_fixed_fusion,0.6188238343414598,0.34046960547929644,0.6551331269434859,6419.0,0.3470404984423676,0.3927180685358255,0.416926272066459,0.44975852936594485
category_name,traffic sign,6419,0.44975852936594485,learned_deterministic,0.5928090645222309,0.3988760620795617,0.6035244688475421,6419.0,0.38006230529595014,0.39369158878504673,0.41519556940117686,0.44975852936594485
category_name,traffic sign,6419,0.44975852936594485,learned_fusion,0.6442981250009441,0.300803036784637,0.6945662027733178,6419.0,0.31401869158878504,0.38492990654205606,0.4170993423329872,0.44975852936594485
category_name,traffic sign,6419,0.44975852936594485,learned_fusion_plus_confidence,0.7471638052304748,0.2201793426033035,0.8066735877352337,6419.0,0.21713395638629285,0.36507009345794394,0.4061959155417099,0.44975852936594485
category_name,traffic sign,6419,0.44975852936594485,learned_stochastic,0.6279024143971877,0.28843151794645194,0.696709896866533,6419.0,0.31401869158878504,0.39330218068535827,0.4205607476635514,0.44975852936594485
category_name,traffic sign,6419,0.44975852936594485,nonlinear_fusion,0.6850901070187146,0.27043220301257537,0.7382864216166429,6419.0,0.2738317757009346,0.37792056074766356,0.41208030460366907,0.44975852936594485
category_name,traffic sign,6419,0.44975852936594485,stochastic_fixed,0.5229941008961263,0.342045335993054,0.6067227007780024,6419.0,0.38317757009345793,0.4295171339563863,0.43769470404984423,0.44975852936594485
category_name,train,349,0.997134670487106,confidence,0.9999585935021646,0.9881077758328037,0.985632183908046,349.0,0.9942857142857143,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,train,349,0.997134670487106,deterministic_fixed,0.9987913790741382,0.9969488501996233,0.6551724137931034,349.0,0.9942857142857143,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,train,349,0.997134670487106,equal_fixed_fusion,0.9998043863126252,0.9922652491214957,0.9339080459770115,349.0,0.9942857142857143,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,train,349,0.997134670487106,learned_deterministic,0.9986502384611814,0.9971991557546342,0.6235632183908046,349.0,0.9942857142857143,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,train,349,0.997134670487106,learned_fusion,0.9997600403563411,0.9928179125251619,0.9195402298850575,349.0,0.9942857142857143,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,train,349,0.997134670487106,learned_fusion_plus_confidence,0.9998653429229801,0.9912521760044245,0.9540229885057471,349.0,0.9942857142857143,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,train,349,0.997134670487106,learned_stochastic,0.9997867299685462,0.9924992510317154,0.9281609195402298,349.0,0.9942857142857143,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,train,349,0.997134670487106,nonlinear_fusion,0.9987152538660843,0.9970880831207917,0.6379310344827587,349.0,0.9942857142857143,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,train,349,0.997134670487106,stochastic_fixed,0.9998043863126252,0.9922652491214957,0.9339080459770115,349.0,0.9942857142857143,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,truck,2651,0.8125235760090532,confidence,0.9392348528230644,0.6051029339186781,0.827606306361848,2651.0,0.6764705882352942,0.776049033474776,0.7967309304274938,0.8125235760090532
category_name,truck,2651,0.8125235760090532,deterministic_fixed,0.8110991766577256,0.8277357825650755,0.4686858383354911,2651.0,0.8340874811463047,0.8203677510608204,0.8105616093880972,0.8125235760090532
category_name,truck,2651,0.8125235760090532,equal_fixed_fusion,0.8396985742562801,0.7820690356023613,0.550953352426537,2651.0,0.7933634992458521,0.8052805280528053,0.8063704945515507,0.8125235760090532
category_name,truck,2651,0.8125235760090532,learned_deterministic,0.8381410640855953,0.8227184407188075,0.5099585442086129,2651.0,0.8159879336349924,0.7972654408297972,0.8034367141659682,0.8125235760090532
category_name,truck,2651,0.8125235760090532,learned_fusion,0.9216402246579435,0.6385578827482333,0.773132761284513,2651.0,0.7073906485671192,0.7793493635077794,0.7971500419111484,0.8125235760090532
category_name,truck,2651,0.8125235760090532,learned_fusion_plus_confidence,0.9314050261696698,0.6324489999012476,0.7938597228683149,2651.0,0.6855203619909502,0.7746346063177746,0.7963118189438391,0.8125235760090532
category_name,truck,2651,0.8125235760090532,learned_stochastic,0.9200517612119198,0.6295657654199478,0.7767365567593116,2651.0,0.7043740573152338,0.7812352663837813,0.797569153394803,0.8125235760090532
category_name,truck,2651,0.8125235760090532,nonlinear_fusion,0.91902905594822,0.6617313828919043,0.7608735047237931,2651.0,0.7051282051282052,0.7774634606317775,0.797569153394803,0.8125235760090532
category_name,truck,2651,0.8125235760090532,stochastic_fixed,0.8571546527689384,0.7391452871518958,0.6052316685629096,2651.0,0.777526395173454,0.7963224893917963,0.8038558256496228,0.8125235760090532
object_size,large,7530,0.48725099601593624,confidence,0.8685554096653664,0.2137304497796529,0.8852582968145791,7530.0,0.1752988047808765,0.37765604249667994,0.4375092223697801,0.48725099601593624
object_size,large,7530,0.48725099601593624,deterministic_fixed,0.654608492473731,0.3521597737240547,0.6736561087882973,7530.0,0.3612217795484728,0.4387450199203187,0.4553637302641287,0.48725099601593624
object_size,large,7530,0.48725099601593624,equal_fixed_fusion,0.7183388713148959,0.2714089314770912,0.7647249129941962,7530.0,0.2950863213811421,0.42280876494023906,0.4530028036004132,0.48725099601593624
object_size,large,7530,0.48725099601593624,learned_deterministic,0.7805528538180094,0.3039257834624613,0.7810389644676916,7530.0,0.2685258964143426,0.39591633466135456,0.44149328611480004,0.48725099601593624
object_size,large,7530,0.48725099601593624,learned_fusion,0.8383134418715471,0.22663471578883115,0.85877610271178,7530.0,0.19575033200531208,0.38595617529880477,0.44016526486646007,0.48725099601593624
object_size,large,7530,0.48725099601593624,learned_fusion_plus_confidence,0.8848331666213494,0.20287991507485784,0.8990636671203583,7530.0,0.15564409030544488,0.37765604249667994,0.4355909694555113,0.48725099601593624
object_size,large,7530,0.48725099601593624,learned_stochastic,0.7863913437102346,0.2480235044916137,0.821145885196035,7530.0,0.22363877822045153,0.40039840637450197,0.44665781319167774,0.48725099601593624
object_size,large,7530,0.48725099601593624,nonlinear_fusion,0.8692697925678041,0.20147636885731088,0.8870238611312473,7530.0,0.1851261620185923,0.37749003984063745,0.43573852737199353,0.48725099601593624
object_size,large,7530,0.48725099601593624,stochastic_fixed,0.6468975239027681,0.2821321963907231,0.7276657808137775,7530.0,0.3399734395750332,0.4394090305444887,0.46687324774974176,0.48725099601593624
object_size,medium,16911,0.5081899355449115,confidence,0.7484067772975413,0.2979892027063071,0.7720089602290259,16911.0,0.2975402081362346,0.43513933032744473,0.47325886990801574,0.5081899355449115
