Stage,ECE ↓,LAECE ↓,AURC ↓
No Calibration,0.2003516870579267,0.5188715543210654,0.25378322642929196
+ TS,0.2003516870579267,0.5188715543210654,0.25378322642929196
+ IoU Mapping,0.3535775812784502,0.5645853274404103,0.1114422048711096
+ Uncertainty Fusion,0.3537141516874671,0.5651243966555278,0.11142746794614193
