attribute,value,rows,error_prevalence,status,method,auprc,aurc,auroc,brier,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,ece,n,nll,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00
category_name,bicycle,1107,0.9087624209575429,estimable,capacity_control_product,0.974592600908363,0.7509744737176122,0.8570360018109167,0.08467980616964169,0.028003613369467027,0.032520325203252036,0.04787714543812105,0.1520886978631413,1107.0,0.3048876059450879,0.8411552346570397,0.8787096774193548,0.8927765237020316,0.9017051153460381,0.9087624209575429
category_name,bicycle,1107,0.9087624209575429,estimable,confidence,0.9750466005710225,0.7495255592371234,0.8624293840914907,0.11586148303419828,0.031616982836495035,0.036133694670280034,0.04787714543812105,0.2345977440667433,1107.0,0.3938600804545965,0.8393501805054152,0.8787096774193548,0.8905191873589164,0.9027081243731193,0.9087624209575429
category_name,bicycle,1107,0.9087624209575429,estimable,direct_spatial_fusion,0.973368274776185,0.7593058497822203,0.8387693640139361,0.08913936643598402,0.024390243902439025,0.03071364046973803,0.04968383017163505,0.15358900422884494,1107.0,0.3150193298482766,0.8429602888086642,0.8787096774193548,0.8905191873589164,0.9007021063189569,0.9087624209575429
category_name,bicycle,1107,0.9087624209575429,estimable,equal_fusion,0.9741483489794007,0.7637968165387328,0.8313485424089129,0.0870362988208882,0.022583559168925023,0.02710027100271003,0.04245709123757904,0.15425436012149155,1107.0,0.3150973378788813,0.8465703971119134,0.8774193548387097,0.8893905191873589,0.8996990972918756,0.9087624209575429
category_name,bicycle,1107,0.9087624209575429,estimable,learned_spatial_quality,0.9560746658657289,0.829430127212096,0.7110702123890322,0.11175495573277618,0.0009033423667570009,0.0009033423667570009,0.0009033423667570009,0.17330632078994235,1107.0,0.38325337420998806,0.8646209386281588,0.8851612903225806,0.8961625282167043,0.8996990972918756,0.9087624209575429
category_name,bicycle,1107,0.9087624209575429,estimable,product_fusion,0.973585289787459,0.764031429983012,0.8292325256382498,0.09064238743468031,0.022583559168925023,0.02710027100271003,0.04065040650406504,0.1605703703293308,1107.0,0.3238228742883626,0.8429602888086642,0.88,0.8905191873589164,0.8996990972918756,0.9087624209575429
category_name,bicycle,1107,0.9087624209575429,estimable,spatial_agreement,0.9536268059642163,0.825506093927146,0.7001161348739247,0.11419243005092272,0.006323396567299007,0.009033423667570008,0.01084010840108401,0.19041084682326204,1107.0,0.3938282268128488,0.8754512635379061,0.8877419354838709,0.8927765237020316,0.9017051153460381,0.9087624209575429
category_name,bus,2396,0.9169449081803005,estimable,capacity_control_product,0.9896622564679581,0.7594950439806964,0.9177064201297794,0.1333875333414637,0.001669449081803005,0.014190317195325543,0.038397328881469114,0.2579624377876133,2396.0,0.44106209602974195,0.83889816360601,0.8825983313468415,0.8972352634324465,0.9082058414464534,0.9169449081803005
category_name,bus,2396,0.9169449081803005,estimable,confidence,0.9911826466802667,0.7566734451976296,0.9230334650036711,0.1297332238700107,0.002086811352253756,0.015025041736227046,0.03964941569282137,0.2655972537213847,2396.0,0.4372877473697334,0.8380634390651085,0.8825983313468415,0.8972352634324465,0.9082058414464534,0.9169449081803005
category_name,bus,2396,0.9169449081803005,estimable,direct_spatial_fusion,0.9858184920676204,0.7649152854525921,0.898847903605419,0.11311757670618215,0.0,0.006260434056761269,0.03631051752921536,0.21670465900755417,2396.0,0.3817980991420911,0.8464106844741235,0.8849821215733016,0.8977569118414189,0.9086694483078349,0.9169449081803005
