method,mc_passes,auprc,aurc,auroc,brier,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,ece,error_prevalence,n,nll,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00
product_fusion_mc02,2,0.8125572025408794,0.3317962869078084,0.798953406768169,0.1783654528413573,0.017194854094759963,0.08241815709653802,0.2587177073527874,0.00797126465651869,0.5685179374542412,47805,0.5363722240116341,0.34857549261598963,0.45024503944537414,0.4938029494822717,0.5333643230679838,0.5685179374542412
product_fusion_mc05,5,0.81621966926798,0.3275862556653999,0.8031032024963598,0.176076773817112,0.023428511661960045,0.10400585712791549,0.27854826900951785,0.007505124372107552,0.5685179374542412,47805,0.5312445904377218,0.34489394636656484,0.45033468802295,0.4946135341491476,0.5337594421847763,0.5685179374542412
product_fusion_mc10,10,0.8194295715390101,0.32609319263934833,0.8056022151356719,0.1749156944163177,0.026022382595962765,0.10844053969250078,0.2803054073841648,0.008504693076147828,0.5685179374542412,47805,0.5276668542274864,0.3434296950173618,0.4491692565144633,0.49393368894467105,0.5331551423590936,0.5685179374542412
