method,ap_50,ap_75,ap_large,ap_medium,ap_small,ar_1,ar_10,ar_100,ar_large,ar_medium,ar_small,images,map_50_95,predictions
capacity_control_product,0.36561441511875364,0.20126389811627876,0.41173197348764873,0.23340661832450046,0.09081778368628997,0.2338252776435416,0.4121340401264684,0.4546854700270949,0.674937117101172,0.4663483303878564,0.26413491324119287,1992,0.2093596947969934,422843
confidence,0.3693422706209172,0.20376952383029162,0.41500014430739524,0.2347699567824021,0.09052720626597593,0.23215952811014795,0.4126330013640392,0.4547700481588809,0.6749319770343511,0.4663801764761862,0.264295555811474,1992,0.21206593058541365,422843
direct_spatial_fusion,0.3259764042622102,0.1695975768807453,0.3426967489393952,0.22304530133096434,0.09104390843156952,0.2201587628137422,0.40784899343107317,0.4547316122105217,0.6749643859115488,0.46629579312376157,0.264320518216514,1992,0.17888816399081503,422843
equal_fusion,0.33711253923489115,0.19318647105760525,0.38219786650393783,0.2272859738141325,0.08812465020820998,0.21955205313104442,0.4052611466175477,0.4546829088143696,0.6749566758113176,0.46626049582262774,0.26425158163399065,1992,0.19627398891366749,422843
learned_spatial_quality,0.1458426344885575,0.08034980266447957,0.16805980010883187,0.11297387536588677,0.046665587608373596,0.17911446623313917,0.3833628727988711,0.45463717085060684,0.6749643859115488,0.46623467826668963,0.26417126034885013,1992,0.08164301243563499,422843
product_fusion,0.3507701371692203,0.1987543853398508,0.3953910189181892,0.23255838392709235,0.09081381159573962,0.22553473253349365,0.40807122270020507,0.45470801803041944,0.6749643859115488,0.46629579312376157,0.2642669706930869,1992,0.20309318947827493,422843
spatial_agreement,0.12900390582041504,0.07698186699841908,0.14483735728921232,0.10253937600063337,0.04495557237731145,0.14066971602829725,0.3705391625995299,0.45451281751563494,0.6749695259783698,0.4661654166842775,0.26396105107770296,1992,0.07755469560706507,422843
