fusion,baseline,metric,holm_adjusted_p,improvement,lower,positive_is_better,raw_one_sided_p,reject_no_improvement,upper
product_fusion,capacity_control_product,aurc,1.0,0.0005036759546053204,-0.012264478391218673,True,0.49019607843137253,False,0.020046068260663786
product_fusion,capacity_control_product,auroc,1.0,-0.01133786848072571,-0.04513315527405438,True,0.7843137254901961,False,0.03678531298853567
product_fusion,capacity_control_product,brier,1.0,-0.027697583430933176,-0.04983483416587695,True,1.0,False,-0.0037767062432087508
product_fusion,confidence,aurc,0.11764705882352941,0.008791099948050607,0.002321350611144324,True,0.0196078431372549,False,0.014042034638824115
product_fusion,confidence,auroc,0.29411764705882354,0.01814058956916098,0.0008198176162162909,True,0.058823529411764705,False,0.03914989382849916
product_fusion,confidence,brier,1.0,-0.006144117729456333,-0.016881280854433568,True,0.7450980392156863,False,0.00909135773404782
