attribute,value,rows,error_prevalence,status,method,auprc,aurc,auroc,brier,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,ece,n,nll,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00
category_name,bicycle,1,1.0,not_estimable_minimum_rows,not_estimable,,,,,,,,,,,,,,,
category_name,bus,5,0.8,not_estimable_minimum_rows,not_estimable,,,,,,,,,,,,,,,
category_name,car,77,0.23376623376623376,estimable,capacity_control_product,0.7928600600918727,0.0590535584234758,0.9001883239171374,0.17177192613584827,0.6233766233766234,0.8051948051948052,0.948051948051948,0.23355268080615674,77.0,0.6554473994786948,0.05128205128205128,0.07407407407407407,0.0967741935483871,0.17142857142857143,0.23376623376623376
category_name,car,77,0.23376623376623376,estimable,confidence,0.6545047520873895,0.06806881315504296,0.8634651600753296,0.20965283271948632,0.5974025974025974,0.7272727272727273,0.935064935064935,0.2930381921851107,77.0,1.1107666278072066,0.02564102564102564,0.09259259259259259,0.12903225806451613,0.18571428571428572,0.23376623376623376
category_name,car,77,0.23376623376623376,estimable,direct_spatial_fusion,0.6645935854669398,0.061689045707033645,0.8738229755178908,0.16120229819080847,0.5974025974025974,0.7142857142857143,0.948051948051948,0.2175121910928779,77.0,0.8243393225525868,0.0,0.07407407407407407,0.1774193548387097,0.18571428571428572,0.23376623376623376
category_name,car,77,0.23376623376623376,estimable,equal_fusion,0.6592819879186372,0.0665585212348395,0.8625235404896422,0.20873524175826058,0.6103896103896104,0.7142857142857143,0.948051948051948,0.23109088922825388,77.0,1.2850323810317434,0.02564102564102564,0.07407407407407407,0.16129032258064516,0.18571428571428572,0.23376623376623376
category_name,car,77,0.23376623376623376,estimable,learned_spatial_quality,0.5253912049199688,0.10264571325840931,0.7382297551789078,0.25929716132544706,0.4155844155844156,0.44155844155844154,0.948051948051948,0.24992049013014467,77.0,2.6523681767923617,0.1282051282051282,0.16666666666666666,0.1935483870967742,0.2,0.23376623376623376
category_name,car,77,0.23376623376623376,estimable,product_fusion,0.6577096320644709,0.06365990664178177,0.8738229755178908,0.19689892302200906,0.6363636363636364,0.7142857142857143,0.922077922077922,0.24299677591793048,77.0,1.4259665365482503,0.02564102564102564,0.09259259259259259,0.14516129032258066,0.2,0.23376623376623376
category_name,car,77,0.23376623376623376,estimable,spatial_agreement,0.3000359008597465,0.2100611517085881,0.6129943502824858,0.265874731364633,0.0,0.5324675324675324,0.6753246753246753,0.2571851194779131,77.0,2.3671525900681214,0.10256410256410256,0.2222222222222222,0.22580645161290322,0.24285714285714285,0.23376623376623376
category_name,motorcycle,7,1.0,not_estimable_minimum_rows,not_estimable,,,,,,,,,,,,,,,
category_name,person,15,0.9333333333333333,not_estimable_minimum_rows,not_estimable,,,,,,,,,,,,,,,
category_name,rider,4,1.0,not_estimable_minimum_rows,not_estimable,,,,,,,,,,,,,,,
category_name,traffic light,34,0.8235294117647058,estimable,capacity_control_product,0.9319013264762157,0.6805067298709262,0.75,0.15387045510529798,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.15970316129055429,34.0,0.8394925938960258,0.7058823529411765,0.7916666666666666,0.7857142857142857,0.8064516129032258,0.8235294117647058
category_name,traffic light,34,0.8235294117647058,estimable,confidence,0.8611079896234916,0.6964236502567092,0.6428571428571428,0.21028812881215786,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.2962386108726133,34.0,0.9985857571400452,0.7647058823529411,0.8333333333333334,0.8214285714285714,0.8387096774193549,0.8235294117647058
category_name,traffic light,34,0.8235294117647058,estimable,direct_spatial_fusion,0.8565082133696179,0.7987620297498745,0.5535714285714286,0.19221493465878425,0.0,0.0,0.0,0.17246616503690118,34.0,0.9451812601885825,0.8235294117647058,0.7916666666666666,0.8214285714285714,0.8387096774193549,0.8235294117647058
category_name,traffic light,34,0.8235294117647058,estimable,equal_fusion,0.8468493474145388,0.7036244614281085,0.6190476190476191,0.21700644027343255,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.2857515949540213,34.0,1.0154999843277417,0.7647058823529411,0.8333333333333334,0.8571428571428571,0.8387096774193549,0.8235294117647058
category_name,traffic light,34,0.8235294117647058,estimable,learned_spatial_quality,0.7992146133530039,0.8934344014011463,0.36904761904761907,0.3077727962421134,0.0,0.0,0.0,0.39916920504461306,34.0,2.000454116503279,0.8235294117647058,0.875,0.8214285714285714,0.8387096774193549,0.8235294117647058
category_name,traffic light,34,0.8235294117647058,estimable,product_fusion,0.8652246890041662,0.6948926247000913,0.6369047619047619,0.24526524691038337,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.3620147426903925,34.0,1.4814139026767517,0.7647058823529411,0.8333333333333334,0.8571428571428571,0.8064516129032258,0.8235294117647058
category_name,traffic light,34,0.8235294117647058,estimable,spatial_agreement,0.7836108718564052,0.8976387651389786,0.34523809523809523,0.2271075515334245,0.0,0.0,0.0,0.2832242257061269,34.0,1.824563219354705,0.8235294117647058,0.875,0.8928571428571429,0.8387096774193549,0.8235294117647058
