method,family,auprc,aurc,auroc,brier,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,ece,error_prevalence,n,nll,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00,auprc_ci_lower,auprc_ci_upper,aurc_ci_lower,aurc_ci_upper,auroc_ci_lower,auroc_ci_upper,brier_ci_lower,brier_ci_upper,ece_ci_lower,ece_ci_upper,nll_ci_lower,nll_ci_upper
capacity_control_product,capacity_matched_nonspatial_control,0.8600483331320562,0.301062997266393,0.8273242630385488,0.17034125969970604,0.14285714285714285,0.164021164021164,0.24338624338624337,0.055584243354423114,0.5555555555555556,189,0.8358750851593716,0.3157894736842105,0.42857142857142855,0.46710526315789475,0.5087719298245614,0.5555555555555556,0.784684502114299,0.9150668399612096,0.2573633228139473,0.3502715937417967,0.737436084402784,0.9342107892107893,0.11021240257128256,0.2013541860070303,0.05002070928622375,0.11251897053134158,0.3101189105351239,1.139717836010441
confidence,confidence_control,0.7880356103749775,0.3093504212598383,0.7978458049886621,0.19189472540118288,0.15343915343915343,0.1746031746031746,0.24338624338624337,0.08050422264421941,0.5555555555555556,189,0.9074169627893646,0.3263157894736842,0.44360902255639095,0.506578947368421,0.5321637426900585,0.5555555555555556,0.6714777037824119,0.9509716923463534,0.25565266809000714,0.34646196560859155,0.7444232740943267,0.9195321637426901,0.15099024398891076,0.22059419097205202,0.06691392860355226,0.15073693936209412,0.5137935108750975,1.2064759700900973
direct_spatial_fusion,direct_learned_sensitivity,0.8341429645361031,0.30251689909785046,0.8184807256235828,0.17600918341183397,0.07407407407407407,0.21164021164021163,0.30158730158730157,0.07223182463000342,0.5555555555555556,189,0.8653392913629907,0.29473684210526313,0.44360902255639095,0.47368421052631576,0.52046783625731,0.5555555555555556,0.7339558449033766,0.9369307189553944,0.24263548112385105,0.3355048270496132,0.7797358619445304,0.898610024533188,0.13518080726597792,0.2088448532361866,0.06607235317039967,0.1495446513774594,0.40801259228857256,1.3265868785904926
equal_fusion,fixed_equal_fusion,0.8282088773907259,0.30151087862401454,0.8140589569160998,0.18450426477668141,0.14814814814814814,0.18518518518518517,0.291005291005291,0.11825510083799154,0.5555555555555556,189,0.9476095030296371,0.28421052631578947,0.46616541353383456,0.48026315789473684,0.5146198830409356,0.5555555555555556,0.7423356230454584,0.9647503436865499,0.26316035431929763,0.34551027790701966,0.7524004378648874,0.936498946998947,0.10978143435074038,0.22244734398558696,0.07321876353502922,0.1821036847274227,0.47317829589646054,1.3950743683474127
learned_spatial_quality,spatial_quality_only,0.7674542980141098,0.34052371953072075,0.7438775510204082,0.2364140930915131,0.1164021164021164,0.15873015873015872,0.25396825396825395,0.18043309703583532,0.5555555555555556,189,1.787229843401068,0.3684210526315789,0.48872180451127817,0.506578947368421,0.52046783625731,0.5555555555555556,0.6812077560635359,0.9549987867788234,0.30828015143059684,0.3980398679490232,0.6747905990186726,0.9198566017316017,0.1921078595117626,0.28240716897913726,0.1063880226955594,0.2189671820920208,0.913360632992611,2.536100933070949
product_fusion,localization_aware_product,0.8269686837828547,0.3005593213117877,0.8159863945578231,0.1980388431306392,0.15343915343915343,0.19047619047619047,0.2751322751322751,0.13048963195580576,0.5555555555555556,189,1.3389429010141025,0.29473684210526313,0.45112781954887216,0.4868421052631579,0.5146198830409356,0.5555555555555556,0.7314543381279313,0.9302840390304414,0.2484838428475457,0.34160991191703854,0.718016757728781,0.892158264033264,0.1378332196609352,0.25388136344186074,0.09364994705874026,0.1967951885774135,0.5050617052518598,1.839106116917681
spatial_agreement,fixed_spatial_control,0.7305176459757095,0.3922257849003177,0.7171201814058957,0.2332282742208283,0.0,0.0,0.13227513227513227,0.14201750111271244,0.5555555555555556,189,1.6669205033108543,0.3894736842105263,0.48120300751879697,0.5263157894736842,0.5321637426900585,0.5555555555555556,0.6077798021531166,0.9091221966650944,0.3345749056472057,0.4846704108968736,0.6256908151214168,0.8575747863247863,0.16928447002294952,0.2753012488518447,0.11240113803376184,0.21512998003298808,0.48618670864087593,2.281513265422055
