method,ap_50,ap_75,ap_large,ap_medium,ap_small,ar_1,ar_10,ar_100,ar_large,ar_medium,ar_small,images,map_50_95,predictions
capacity_control_product,0.500567815476555,0.3687769061506988,0.8623742374237424,0.548243199116255,0.15264758565099168,0.16346424321107864,0.44102131342637674,0.5093194850156876,0.8846153846153847,0.5964285714285714,0.4564875730994153,8,0.3173716889556912,1521
confidence,0.5130552612703511,0.3750560681325358,0.8719573495811119,0.5677116950424691,0.14986716972163697,0.16346424321107864,0.443806123552959,0.5093194850156876,0.8846153846153847,0.5964285714285714,0.4564875730994153,8,0.32390245540253415,1521
direct_spatial_fusion,0.4690374590883241,0.37405994362392003,0.8719573495811119,0.5679244323300499,0.13378005870772097,0.16372714486638537,0.45294817699880996,0.5093194850156876,0.8846153846153847,0.5964285714285714,0.4564875730994153,8,0.3078214862235201,1521
equal_fusion,0.509637045321663,0.3731977905568322,0.8692930831544693,0.564067406629392,0.14192943067564143,0.21013090987774533,0.45218868332792383,0.5093194850156876,0.8846153846153847,0.5964285714285714,0.4564875730994153,8,0.3221477412340901,1521
learned_spatial_quality,0.2722888770898136,0.2144171587794409,0.7157238223611575,0.3261335161170106,0.10416091865549512,0.15876014281077572,0.4072984961592556,0.5093194850156876,0.8846153846153847,0.5964285714285714,0.4564875730994153,8,0.17988185902622095,1521
product_fusion,0.5143820426746452,0.37583884255638866,0.8711652703731911,0.5642457235668941,0.14751086982813225,0.16346424321107864,0.4516823542139998,0.5093194850156876,0.8846153846153847,0.5964285714285714,0.4564875730994153,8,0.3245266214381139,1521
spatial_agreement,0.17427930066913827,0.13310117741052518,0.5025846911869426,0.22114624277791672,0.09500833408253537,0.1387796170074651,0.3935010278048253,0.5093194850156876,0.8846153846153847,0.5964285714285714,0.4564875730994153,8,0.11538156471671296,1521
