localization_iou_threshold,status,rows,auprc,aurc,auroc,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,error_prevalence,n,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00
0.50,estimable,189,0.6964427995010384,0.2693130736691035,0.7484848484848485,0.13756613756613756,0.1746031746031746,0.31746031746031744,0.47619047619047616,189,0.2736842105263158,0.39849624060150374,0.4276315789473684,0.4444444444444444,0.47619047619047616
0.75,estimable,189,0.7798185477048569,0.39965309829535284,0.736545240893067,0.1164021164021164,0.15873015873015872,0.21164021164021163,0.6084656084656085,189,0.43157894736842106,0.556390977443609,0.5723684210526315,0.5789473684210527,0.6084656084656085
