Method,FP_Rate,FN_Rate,n_TP,n_FP,n_FN,Coverage
Baseline,0.33066252092800763,0.6938100057441396,11194,5530,25365,100.0
Decision Fusion,0.13626276076342655,0.8935419458956755,3892,614,32667,20.002663470502064
