Method,Pearson r ↑,Spearman ρ ↑
Raw Confidence,0.12261365393809355,0.11389695064551995
Temperature Scaling,0.12232981668056712,0.11389695064551995
Score–IoU Fusion,0.8434792991015938,0.42540814095768725
