method,status,n,weighted_aurc,coverage_at_weighted_risk_0.10,operating_coverage,operating_criticality_mass_coverage,operating_weighted_risk,brier,nll,ece,auroc,aurc
calibrated_confidence,estimable,47805,0.36684291958388465,0.013230300798193779,0.00497855872816651,0.0047563443851680156,0.06434446574892286,0.18810403583270233,0.5608406283396322,0.009428689075032267,0.7734652573672031,0.348498895603384
criticality_only,estimable,47805,0.5319221499195504,0.0,8.367325593557159e-05,4.550260530672613e-05,1.0,0.24531499665820355,0.6837479127685566,0.0031151903933634983,0.5,0.5667398224571198
flat_joint,estimable,47805,0.34625856342679556,0.07127918387091318,0.07967785796464805,0.06687133035491942,0.09553687173841216,0.1693993244827913,0.5126858340595308,0.009714473781567503,0.8216952542859005,0.3208990123768537
late_fusion_unweighted,estimable,47805,0.3538539885480298,0.08355475698248191,0.048969773036293275,0.04612838510185021,0.07466859676751703,0.17254959971075082,0.5206505214191727,0.007762725222084144,0.8143251614679846,0.3249217309177773
raw_confidence,estimable,47805,0.4064112961024651,0.005481419620026014,0.015312205836209602,0.010884099828481764,0.12399571172680425,0.2143681719845077,0.6172538311226173,0.11743931072474702,0.7737024494047728,0.3486603509348329
risk_aware_fusion,estimable,47805,0.34818289822210297,0.08328440494630238,0.07018094341596068,0.059544363747213495,0.09744085793712357,0.17254959971075082,0.5206505214191727,0.007762725222084144,0.8143251614679846,0.3249217309177773
risk_aware_fusion_mc05,estimable,47805,0.34518595889092435,0.08653268437722175,0.09007426001464282,0.07806381732224119,0.0907490992776755,0.16963890054352185,0.5129999572488131,0.007685117550913903,0.8206152260206441,0.3212851917638479
risk_aware_fusion_mc10,estimable,47805,0.34323726979818203,0.10030158423182739,0.10549105742077189,0.09148367386083076,0.09506706751201029,0.16785114375588447,0.5089204643580213,0.008187230464452296,0.8241143214176262,0.3188519054267942
uncertainty_only,estimable,47805,0.34742707296248204,0.056737906717621814,0.06252484049785588,0.05353686718370973,0.09832521471145646,0.17085167742499976,0.5167805284900756,0.012128028337575068,0.8183585204686703,0.3226481967174963
