method,accepted,deferred,coverage,criticality_mass_coverage,weighted_risk,accepted_criticality_mass,deferred_criticality_mass
calibrated_confidence,238,47567,0.00497855872816651,0.0047563443851680156,0.06434446574892286,419.29258695291355,87735.08670072397
criticality_only,4,47801,8.367325593557159e-05,4.550260530672613e-05,1.0,4.011253926786594,88150.3680337501
flat_joint,3809,43996,0.07967785796464805,0.06687133035491942,0.09553687173841216,5895.000619579107,82259.37866809778
late_fusion_unweighted,2341,45464,0.048969773036293275,0.04612838510185021,0.07466859676751703,4066.419156196527,84087.96013148036
raw_confidence,732,47073,0.015312205836209602,0.010884099828481764,0.12399571172680425,959.4810644849204,87194.89822319197
risk_aware_fusion,3355,44450,0.07018094341596068,0.059544363747213495,0.09744085793712357,5249.096426215256,82905.28286146163
risk_aware_fusion_mc05,4306,43499,0.09007426001464282,0.07806381732224119,0.0907490992776755,6881.667360868771,81272.71192680812
risk_aware_fusion_mc10,5043,42762,0.10549105742077189,0.09148367386083076,0.09506706751201029,8064.686484157806,80089.69280351908
uncertainty_only,2989,44816,0.06252484049785588,0.05353686718370973,0.09832521471145646,4719.509295586729,83434.86999209016
