comparison,baseline,bootstrap_improvement_mean,candidate,confidence_interval,favorable_and_significant,improvement,metric,p_value_holm,p_value_one_sided,holm_adjusted_p,margin,passed,raw_one_sided_p
coverage_at_weighted_risk_0.10__risk_aware_fusion__vs__calibrated_confidence,calibrated_confidence,0.06380720765340232,risk_aware_fusion,"[0.036099583492189696, 0.08540868577671505]",True,0.0700541041481086,coverage_at_weighted_risk_0.10,0.0029985007496251873,0.0004997501249375312,,,,
coverage_at_weighted_risk_0.10__risk_aware_fusion__vs__flat_joint,flat_joint,0.0031260074422291774,risk_aware_fusion,"[-0.01820919374780602, 0.019605435494261893]",True,0.012005221075389191,coverage_at_weighted_risk_0.10,0.005997001499250375,0.0029985007496251873,,,,
weighted_aurc__risk_aware_fusion__vs__calibrated_confidence,calibrated_confidence,0.018650335506719493,risk_aware_fusion,"[0.017472284859623224, 0.019860240388022567]",True,0.018660021361781687,weighted_aurc,0.0029985007496251873,0.0004997501249375312,,,,
weighted_aurc__risk_aware_fusion__vs__flat_joint,flat_joint,-0.001917948966908005,risk_aware_fusion,"[-0.0027500880119604803, -0.001095027497339223]",False,-0.001924334795307403,weighted_aurc,1.0,1.0,,,,
brier_noninferiority__calibrated_confidence,calibrated_confidence,,risk_aware_fusion,"[0.01478955934006527, 0.016364788297350667]",,0.01555443612195151,brier_noninferiority,,,0.0029985007496251873,0.01,True,0.0004997501249375312
brier_noninferiority__flat_joint,flat_joint,,risk_aware_fusion,"[-0.0037242700970204425, -0.0025730548783185745]",,-0.0031502752279595203,brier_noninferiority,,,0.0029985007496251873,0.01,True,0.0004997501249375312
