image_id,n,precision_mc,precision_det,mean_score_mc,aurc_mc,aurc_det,aurc_fus,rc50_mc,rc50_det,rc50_fus,ap
25,23,0.782608695652174,0.782608695652174,0.37450831480648206,0.0033766029198148695,-0.09251803952214213,-0.006115354398229383,0.09090909090909094,0.18181818181818177,0.09090909090909094,0.8088094096213769
86,24,0.5,0.5,0.4301625353594621,0.0819952953166122,0.2448242700699289,0.18543085432282336,0.5833333333333333,0.41666666666666663,0.5833333333333333,0.8306002198859341
136,5,0.2,0.2,0.3022679328918457,0.3116666666666667,0.011666666666666714,0.011666666666666714,0.5,0.5,0.5,0.29166666666666663
189,23,0.43478260869565216,0.43478260869565216,0.3733886065690414,0.23116848719042238,0.2520017220968839,-0.1449447366708307,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.8023809523809523
218,11,0.6363636363636364,0.6363636363636364,0.39510012485764245,0.12008723599632692,-0.12392430801521709,0.12008723599632692,0.0,0.4,0.0,0.9216200466200466
266,11,0.45454545454545453,0.5454545454545454,0.3610118166966872,0.34053850190213825,0.05556539420175788,0.25073133936770303,0.4,0.6,0.4,0.7654761904761904
269,17,0.7058823529411765,0.7058823529411765,0.4589403008713442,0.04940923167566766,-0.22131028573502626,-0.14373014528723874,0.0,0.375,0.375,0.9760531135531136
311,25,0.68,0.68,0.40451100826263425,0.07484244201529162,-0.1227855100120412,-0.013924366055864279,0.0,0.25,0.16666666666666663,0.8581705946140133
318,8,0.875,0.875,0.4105503298342228,0.02492559523809524,0.02492559523809524,0.02492559523809524,0.0,0.0,0.0,0.9325396825396826
329,16,0.5625,0.5625,0.38129348680377007,0.05866186764624262,0.13100514936452434,0.04268964542402043,0.125,0.625,0.125,0.73498260998261
370,14,0.8571428571428571,0.7857142857142857,0.38114375940390993,0.036054025339739636,0.3358835608835609,0.036054025339739636,0.0,0.1428571428571429,0.0,0.8909162596662596
371,16,0.625,0.625,0.443710433319211,-0.027905688061938022,0.15634461025086027,0.21839662074037075,0.25,0.375,0.5,0.8043188905321258
398,7,0.5714285714285714,0.5714285714285714,0.4474936468260629,0.09557823129251705,0.1503401360544218,0.3336734693877551,0.0,0.6666666666666667,0.33333333333333337,0.6683333333333333
414,6,0.5,0.5,0.38247083127498627,0.17222222222222217,0.2694444444444444,0.17222222222222217,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.9166666666666666
419,22,0.6363636363636364,0.6818181818181818,0.3968981910835613,-0.10993131454185492,0.2417539228526423,-0.14045548534712624,0.2727272727272727,0.4545454545454546,0.36363636363636365,0.7318900060802894
424,14,0.9285714285714286,0.9285714285714286,0.3766343572310039,-0.11981332159903588,-0.06028951207522636,-0.06028951207522636,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.9482556332556333
436,11,0.5454545454545454,0.5454545454545454,0.35225393826311285,0.036048799685163335,0.31927390791027155,0.399685163321527,0.19999999999999996,0.4,0.19999999999999996,0.8466575091575093
461,7,1.0,1.0,0.3900107869080135,0.0,0.0,0.0,0.0,0.0,0.0,1.0
464,7,0.42857142857142855,0.42857142857142855,0.323356922183718,0.1163265306122449,0.1591836734693879,0.1163265306122449,0.0,0.6666666666666667,0.0,0.7916666666666666
496,10,0.7,0.7,0.3537791848182678,0.08043650793650797,0.3197619047619048,0.35210317460317464,0.0,0.19999999999999996,0.19999999999999996,0.67262654012654
530,7,0.2857142857142857,0.2857142857142857,0.3656769267150334,-0.14149659863945568,-0.017687074829931926,-0.14149659863945568,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.3666666666666667
570,10,0.7,0.7,0.3530206024646759,0.11138888888888893,-0.2386904761904762,-0.04134920634920633,0.0,0.6,0.19999999999999996,0.8917233560090703
599,17,0.8235294117647058,0.8235294117647058,0.4138794927036061,0.23785067537230176,-0.2384317023806643,0.23332578849447372,0.25,0.375,0.25,0.9093260139077208
602,9,0.6666666666666666,0.6666666666666666,0.38435184293323094,0.16917989417989426,0.03630952380952383,0.007429453262786587,0.5,0.0,0.25,0.9484126984126984
