conf_threshold,mAP,AP50,AP75,num_predictions
0.05,0.1685364029374362,0.2761090775440809,0.16823131509357858,22306
0.1,0.1685364029374362,0.2761090775440809,0.16823131509357858,22306
0.15,0.1685364029374362,0.2761090775440809,0.16823131509357858,22306
0.2,0.1685364029374362,0.2761090775440809,0.16823131509357858,22306
0.25,0.1685364029374362,0.2761090775440809,0.16823131509357858,22306
0.3,0.1685364029374362,0.2761090775440809,0.16823131509357858,22306
0.35,0.1532151150185678,0.24633618623992745,0.15497657167294188,15923
0.4,0.13497596011418303,0.20983078978386566,0.13931587429246162,11413
0.5,0.08927770338237945,0.13206885446236166,0.09405686574014004,5333
0.6,0.05621571996840198,0.07654350844870875,0.061190105373928515,1822
0.75,0.015456526090045967,0.018051582936071384,0.016309742085319646,75
