Method,FP_Rate,FN_Rate,n_TP,n_FP,n_FN,Coverage
Baseline,0.33066252092800763,0.6938100057441396,11194,5530,25365,100.0
Fused (80%),0.34104655679485046,0.675182581580459,11875,6146,24684,80.0
