Method,mAP,AP50,AP75,AP_person,AP_car,AP_truck,AP_traffic_light,AP_traffic_sign
baseline,0.1704813675236083,0.2785354731128005,0.17054177911824953,0.1704813675236083,0.1704813675236083,0.1704813675236083,0.1704813675236083,0.1704813675236083
baseline_ts,0.1704813675236083,0.2785354731128005,0.17054177911824953,0.1704813675236083,0.1704813675236083,0.1704813675236083,0.1704813675236083,0.1704813675236083
mc_dropout,0.18227379198640709,0.3023122927954965,0.18111298581211757,0.18227379198640709,0.18227379198640709,0.18227379198640709,0.18227379198640709,0.18227379198640709
mc_dropout_ts,0.18227379198640709,0.3023122927954965,0.18111298581211757,0.18227379198640709,0.18227379198640709,0.18227379198640709,0.18227379198640709,0.18227379198640709
decoder_variance,0.18189192811167085,0.3020475478674377,0.1800948904405283,0.18189192811167085,0.18189192811167085,0.18189192811167085,0.18189192811167085,0.18189192811167085
decoder_variance_ts,0.18189192811167085,0.3020475478674377,0.1800948904405283,0.18189192811167085,0.18189192811167085,0.18189192811167085,0.18189192811167085,0.18189192811167085
