Method,NLL,Brier,ECE
baseline,0.7162228911243673,0.2609820962986027,0.23653674207093361
baseline_ts,0.6938595209367603,0.2503588297898758,0.19171823607346597
mc_dropout,0.7081269389085267,0.2566726367719661,0.20346752063675727
mc_dropout_ts,0.6858025464298418,0.2463640789540964,0.1332467762886213
decoder_variance,0.7084974662598219,0.25684606414856354,0.20375093310856598
decoder_variance_ts,0.6859252016455301,0.24642496359781957,0.1334798758237121
